sophisticated,高度な
ambiguity,曖昧さ
context,状況
annotated,注釈付きの
narrative,語り口
validated,認証された
attentiveness,注意深さ
disagreements,意見の相違
obvious,明白な
aggregate,集団
intervention,介入
notably,特に
maneuver,操作
exhaustively,完全な
outcomes,結果
manipulate,操作
vary,変更する
cover,扱う
procedure,手順
quantitative,量的な
verbalize,言語化する
imminent,今にも起こりそうな
cabin,車室
state-of-the-art,最先端の
measurement,計測
capable,〜する能力のある
convey,伝える
in-vehicle,車載の
reassess,再評価する
proplusion,推進力
steering wheel,自動車のハンドル
forgo,差し控える
departure,逸脱
delegation,委任
compelling,切迫した
perspective,視点
inadequate,不十分な
inappropriate,不適当な
relinquish,手放す
whereas,その一方で
impending,すぐ起こりそうな
overarching,総合的な
embody,具体的に示す
